Category,Name,Rated,URL
우울,이루마 Loanna 뜻은 이루마의 딸에 이름을 따서 만든겁니다.,23,https://bgmstore.net/view/5bb0d121352039d22709ce66/이루마 Loanna 뜻은 이루마의 딸에 이름을 따서 만든겁니다.
우울,"hee_ya - Collapsing Heart (뉴에이지, 우울, 좌절, 자작)",23,"https://bgmstore.net/view/5bb0d11a352039d22709923a/hee_ya - Collapsing Heart (뉴에이지, 우울, 좌절, 자작)"
우울,Tapstun - Conpuzzled Victory,20,https://bgmstore.net/view/5bb0d13b352039d2270a516b/Tapstun - Conpuzzled Victory
우울,"8월의 크리스마스 입니다.(우울,슬픔(약간),잔잔)",20,"https://bgmstore.net/view/5bb0d128352039d22709d62c/8월의 크리스마스 입니다.(우울,슬픔(약간),잔잔)"
우울,Crescendo - 잠잘때 듣는 노래,18,https://bgmstore.net/view/5bb0d135352039d2270a46a9/Crescendo - 잠잘때 듣는 노래
우울,Tapstun - Malfunctioning Augmented Reality,18,https://bgmstore.net/view/5bb0d12e352039d2270a122c/Tapstun - Malfunctioning Augmented Reality
우울,Whole Nine Yards라는 브금입니다.,17,https://bgmstore.net/view/5bb0d128352039d22709d62f/Whole Nine Yards라는 브금입니다.
우울,"자작곡 _ Anastasia ( 우울, 왈츠 )",16,"https://bgmstore.net/view/5bb0d100352039d2270908c9/자작곡 _ Anastasia ( 우울, 왈츠 )"
우울,"Black wreath - 자작곡, 피아노, 슬픔, 애절, 쓸쓸, 우울, 신비, 잔잔",15,"https://bgmstore.net/view/5bb0d121352039d22709cca2/Black wreath - 자작곡, 피아노, 슬픔, 애절, 쓸쓸, 우울, 신비, 잔잔"
우울,The Binding of Isaac - Remake,14,https://bgmstore.net/view/5bb0d0e3352039d22708545b/The Binding of Isaac - Remake
우울,(수정)[재업](자작)Birth Of Nation,14,https://bgmstore.net/view/5bb0d0b2352039d227075215/(수정)[재업](자작)Birth Of Nation
우울,"[자작][뮤직쉐이크] But, Nobody came",12,"https://bgmstore.net/view/5bb0d12e352039d2270a0820/[자작][뮤직쉐이크] But, Nobody came"
우울,"노량진 - 사회풍자ROCK, 묵직한 분위기, 개보컬, 늪처럼 빨림",12,"https://bgmstore.net/view/5bb0d10d352039d22709472e/노량진 - 사회풍자ROCK, 묵직한 분위기, 개보컬, 늪처럼 빨림"
우울,"[우울,쓸쓸] gloomy travel",10,"https://bgmstore.net/view/5bb0d107352039d22709233e/[우울,쓸쓸] gloomy travel"
우울,"Lonely life - 작곡 과일채소 (슬픔,공포,애절,우울,좌절,긴장,아련,심각,게임)",10,"https://bgmstore.net/view/5bb0d0ea352039d22708930c/Lonely life - 작곡 과일채소 (슬픔,공포,애절,우울,좌절,긴장,아련,심각,게임)"
우울,던파 던전앤파이터 무녀 사망소리 . 2,9,https://bgmstore.net/view/5bb0d13b352039d2270a640a/던파 던전앤파이터 무녀 사망소리 . 2
우울,타성 - 정재원 (자작곡) (우울),9,https://bgmstore.net/view/5bb0d113352039d227096f98/타성 - 정재원 (자작곡) (우울)
우울,해저문 소양강에 황혼이,8,https://bgmstore.net/view/5bb0d113352039d227097019/해저문 소양강에 황혼이
우울,"가족관계(자작곡).슬픔,랩",8,"https://bgmstore.net/view/5bb0d10d352039d227093a59/가족관계(자작곡).슬픔,랩"
우울,"벙거지 소년 (자작, 일상, 진지, 고요, 우울, 좌절)",8,"https://bgmstore.net/view/5bb0d0e3352039d227085227/벙거지 소년 (자작, 일상, 진지, 고요, 우울, 좌절)"
우울,이소라-6집중 tears-,7,https://bgmstore.net/view/5bb0d107352039d227091221/이소라-6집중 tears-
우울,눈물의 포파페파푸 곡,6,https://bgmstore.net/view/5bb0d11a352039d22709a3e9/눈물의 포파페파푸 곡
우울,트레인 언브렐라 편고오오오옥 우울 슬픔 평화 쓸쓸 몽환,5,https://bgmstore.net/view/5bb0d135352039d2270a27da/트레인 언브렐라 편고오오오옥 우울 슬픔 평화 쓸쓸 몽환
우울,i along dance,5,https://bgmstore.net/view/5bb0d121352039d22709cce3/i along dance
우울,hip hop beat sample 0918  jw-1ver,5,https://bgmstore.net/view/5bb0d0ea352039d227088816/hip hop beat sample 0918  jw-1ver
우울,BGM - 증오하는 눈동자 (슬픔 우울 좌절 진지 초조),4,https://bgmstore.net/view/5bb0d10d352039d227095a7f/BGM - 증오하는 눈동자 (슬픔 우울 좌절 진지 초조)
우울,이승연과100인의여자-똥배마사지(감동),3,https://bgmstore.net/view/5bb0d11a352039d22709a340/이승연과100인의여자-똥배마사지(감동)
